Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price_euro,Edad,Name_General
Kochi,32838,Diesel,Automatic,3,17.05,1995.0,190.0,5.0,33670.52,7,BMW
Hyderabad,27076,Petrol,Manual,3,13.8,1299.0,70.0,5.0,1778.57,18,Ford
Kochi,75445,Diesel,Manual,3,22.7,1498.0,89.84,5.0,8381.5,7,Ford
Kochi,46601,Petrol,Manual,3,20.73,1373.0,91.1,5.0,7603.38,9,Maruti
Kolkata,72000,Diesel,Automatic,3,18.33,1968.0,167.7,5.0,6669.63,12,Volkswagen
Pune,27000,Diesel,Manual,3,27.3,1498.0,98.6,5.0,8892.84,7,Honda
Coimbatore,68193,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,27501.11,8,Audi
Kochi,34429,Diesel,Manual,3,24.0,1120.0,70.0,5.0,6113.83,7,Hyundai
Delhi,46000,Diesel,Automatic,3,12.0,2987.0,224.0,7.0,40017.79,11,Mercedes-Benz
Coimbatore,80544,Diesel,Manual,3,12.99,2494.0,100.6,7.0,13105.82,11,Toyota
Jaipur,42000,Petrol,Manual,2,16.95,1498.0,97.7,5.0,3334.82,13,Nissan
Bangalore,94821,Diesel,Automatic,2,20.0,1968.0,138.1,5.0,7503.33,13,Skoda
Jaipur,100000,Petrol,Manual,3,14.49,1399.0,92.7,5.0,1556.25,18,Chevrolet
Mumbai,57000,Diesel,Manual,3,24.2,1498.0,98.6,7.0,6391.73,10,Honda
Hyderabad,79894,Diesel,Manual,3,21.1,1248.0,73.9,5.0,3779.46,14,Maruti
Coimbatore,44748,Petrol,Manual,2,16.47,1198.0,73.9,5.0,5435.75,13,Volkswagen
Mumbai,31000,Petrol,Manual,3,13.24,1598.0,102.5,5.0,5502.45,11,Nissan
Coimbatore,60587,Petrol,Automatic,2,16.98,998.0,66.1,5.0,3879.5,11,Maruti
Pune,43772,Petrol,Manual,3,17.0,1497.0,118.0,5.0,7058.69,10,Honda
Coimbatore,23576,Petrol,Automatic,3,18.9,1197.0,82.0,5.0,7870.16,7,Hyundai
Hyderabad,4000,Diesel,Automatic,3,13.6,1999.0,177.0,5.0,42241.0,7,Jaguar
Kolkata,62000,Diesel,Manual,3,12.05,2179.0,120.0,8.0,6947.53,12,Mahindra
Mumbai,36000,Petrol,Automatic,3,11.74,1796.0,186.0,5.0,11282.79,13,Mercedes-Benz
Delhi,80000,Petrol,Automatic,3,13.7,1798.0,157.75,5.0,11949.76,10,Skoda
Pune,137008,Diesel,Automatic,3,18.1,1991.0,147.9,4.0,5168.96,12,Chevrolet
Delhi,61001,Diesel,Manual,3,12.05,2179.0,120.0,8.0,5280.12,14,Mahindra
Coimbatore,52191,Petrol,Manual,3,17.1,1591.0,121.3,5.0,8648.29,9,Hyundai
Hyderabad,77076,Diesel,Manual,3,23.0,1396.0,90.0,5.0,7503.33,8,Hyundai
Hyderabad,56000,Petrol,Automatic,3,16.4,1497.0,78.0,5.0,3323.7,16,Honda
Kolkata,21000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,2612.27,11,Hyundai
Delhi,89429,Diesel,Manual,3,25.8,1498.0,98.6,5.0,4057.36,11,Honda
Delhi,45631,Petrol,Manual,2,22.5,998.0,67.04,5.0,3045.8,12,Maruti
Jaipur,53959,Petrol,Manual,3,19.4,1198.0,86.8,5.0,3890.62,11,Honda
Kochi,55804,Petrol,Manual,3,17.0,1197.0,80.0,5.0,5291.24,10,Hyundai
Kochi,25899,Petrol,Manual,3,15.04,1598.0,103.2,5.0,6891.95,8,Volkswagen
Pune,82000,Diesel,Manual,2,18.7,1896.0,66.0,5.0,2612.27,16,Skoda
Mumbai,52000,Diesel,Automatic,3,13.0,2143.0,204.0,5.0,27234.33,10,Mercedes-Benz
Pune,20000,Petrol,Manual,3,13.24,1598.0,102.57,5.0,6669.63,11,Renault
Hyderabad,31829,Petrol,Manual,3,21.1,814.0,55.2,5.0,4057.36,7,Hyundai
Coimbatore,18094,Petrol,Manual,2,18.6,1197.0,85.8,5.0,6958.65,8,Maruti
Mumbai,11964,Diesel,Automatic,3,13.22,2967.0,241.4,5.0,36627.39,9,Audi
Coimbatore,22684,Petrol,Manual,3,18.6,1197.0,81.83,5.0,8670.52,6,Hyundai
Bangalore,43521,Petrol,Manual,3,19.4,1198.0,86.8,5.0,4724.32,10,Honda
Kochi,49386,Petrol,Manual,3,17.5,1298.0,85.8,5.0,5402.4,10,Maruti
Delhi,12248,Petrol,Manual,3,18.9,1197.0,81.86,5.0,5446.87,7,Hyundai
Coimbatore,67771,Diesel,Manual,3,11.68,2498.0,112.0,8.0,7847.93,10,Mahindra
Delhi,60007,Petrol,Automatic,3,17.21,1798.0,189.0,4.0,5002.22,9,Volkswagen
Coimbatore,48624,Petrol,Manual,3,24.07,998.0,67.1,5.0,3579.37,13,Maruti
Kolkata,30000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,3612.72,10,Volkswagen
Delhi,81605,Petrol,Manual,3,18.9,1197.0,82.0,5.0,5035.57,8,Hyundai
Coimbatore,32642,Diesel,Automatic,3,14.84,2143.0,170.0,5.0,38661.63,7,Mercedes-Benz
Pune,34200,Petrol,Automatic,3,15.74,1591.0,121.3,5.0,7225.43,10,Hyundai
Chennai,72204,Petrol,Manual,3,15.7,1172.0,67.0,5.0,2501.11,14,Fiat
Pune,156347,Diesel,Manual,2,12.99,2494.0,100.0,8.0,8892.84,13,Toyota
Kochi,47357,Diesel,Automatic,3,18.49,1493.0,100.0,7.0,9304.14,7,Mahindra
Coimbatore,61738,Diesel,Manual,3,20.14,1498.0,88.8,5.0,5991.55,9,Volkswagen
Kochi,32586,Diesel,Automatic,3,22.48,1995.0,190.0,5.0,41462.87,6,BMW
Coimbatore,40129,Diesel,Automatic,3,11.57,2987.0,254.79,5.0,78701.65,6,Mercedes-Benz
Mumbai,51000,Diesel,Automatic,3,11.74,2987.0,254.8,5.0,24733.21,12,Mercedes-Benz
Kochi,10393,Petrol,Manual,3,18.9,1197.0,81.86,5.0,6702.98,6,Hyundai
Mumbai,46000,Petrol,Automatic,3,13.7,1798.0,157.75,5.0,5446.87,13,Skoda
Chennai,21000,Petrol,Automatic,3,16.95,1197.0,78.9,5.0,4401.96,11,Hyundai
Hyderabad,113562,Diesel,Manual,3,23.0,1396.0,90.0,5.0,5113.38,13,Hyundai
Mumbai,100010,Diesel,Manual,2,12.05,2179.0,120.0,8.0,6113.83,13,Mahindra
Mumbai,63107,Petrol,Manual,3,19.4,1198.0,86.8,5.0,3612.72,11,Honda
Jaipur,58500,Petrol,Manual,3,18.6,1197.0,81.83,5.0,6947.53,7,Hyundai
Pune,90000,Diesel,Manual,0,10.9,2499.0,143.0,7.0,3334.82,17,Ford
Chennai,108242,Diesel,Manual,3,16.8,1493.0,110.0,5.0,4724.32,13,Hyundai
Pune,146300,Diesel,Manual,3,11.5,2982.0,171.0,7.0,13617.16,13,Toyota
Pune,62943,Diesel,Automatic,2,17.05,1995.0,184.0,5.0,12172.08,13,BMW
Delhi,65000,Diesel,Automatic,3,12.55,2982.0,168.5,7.0,18341.49,11,Toyota
Pune,1700,Petrol,Automatic,3,19.0,1199.0,88.76,5.0,8670.52,6,Honda
Kochi,34697,Petrol,Manual,3,19.81,1086.0,68.05,5.0,4112.94,11,Hyundai
Hyderabad,58000,Petrol,Manual,3,17.0,1197.0,80.0,5.0,4446.42,12,Hyundai
Mumbai,32500,Diesel,Automatic,3,19.59,1995.0,187.74,5.0,29735.44,9,BMW
Coimbatore,58661,Diesel,Automatic,3,15.17,1968.0,181.0,5.0,31158.29,8,Audi
Kochi,37124,Petrol,Manual,3,20.4,1197.0,81.8,5.0,6047.13,7,Maruti
Delhi,44000,Petrol,Automatic,3,21.4,1197.0,83.1,5.0,6891.95,7,Maruti
Kolkata,45200,Petrol,Manual,3,13.2,1495.0,94.0,5.0,1000.44,19,Hyundai
Mumbai,11000,Petrol,Manual,3,18.5,1197.0,85.8,5.0,4390.84,8,Maruti
Pune,65000,Petrol,Manual,2,26.0,624.0,35.0,4.0,489.11,13,Tata
Ahmedabad,55005,Diesel,Manual,3,20.0,1399.0,68.0,5.0,3056.91,12,Ford
Hyderabad,81650,Diesel,Automatic,3,18.33,1968.0,167.7,5.0,8337.04,13,Volkswagen
Chennai,160000,Diesel,Manual,2,19.0,1248.0,93.0,5.0,2779.01,14,Fiat
Hyderabad,169000,Diesel,Manual,3,14.95,2489.0,93.7,7.0,5558.03,9,Mahindra
Hyderabad,67263,Petrol,Manual,3,18.9,998.0,67.1,5.0,4001.78,11,Maruti
Kochi,44223,Petrol,Manual,3,17.6,1496.0,88.7,5.0,4435.3,12,Toyota
Coimbatore,36840,Petrol,Manual,3,18.9,1197.0,82.0,5.0,6269.45,9,Hyundai
Pune,160000,Diesel,Manual,3,12.99,2494.0,100.0,8.0,13339.26,10,Toyota
Kolkata,133000,Diesel,Manual,3,16.8,1405.0,62.0,5.0,778.12,16,Tata
Mumbai,69123,Diesel,Automatic,3,18.88,1995.0,184.0,5.0,21120.5,9,BMW
Delhi,38000,Diesel,Automatic,3,10.91,3198.0,197.0,7.0,33881.73,7,Ford
Mumbai,5500,Petrol,Manual,3,21.56,1462.0,103.25,5.0,9115.16,7,Maruti
Kolkata,1001,Diesel,Manual,3,25.83,1498.0,99.0,5.0,8392.62,9,Ford
Pune,59000,Petrol,Manual,1,15.26,1150.0,74.9,5.0,1100.49,17,Chevrolet
Delhi,78256,Petrol,Automatic,3,16.8,1497.0,118.0,5.0,4613.16,13,Honda
Chennai,90000,Petrol,Manual,3,16.95,1498.0,97.6,5.0,6891.95,8,Nissan
Kolkata,18000,Petrol,Manual,3,19.1,1197.0,85.8,5.0,4891.06,8,Maruti
Kolkata,60000,Diesel,Manual,3,20.0,1399.0,68.0,5.0,2334.37,12,Ford
Jaipur,130000,Diesel,Manual,3,20.3,1248.0,75.0,5.0,2445.53,13,Fiat
Coimbatore,32851,Petrol,Manual,3,18.6,1197.0,81.86,5.0,9270.79,6,Hyundai
Kolkata,32000,Diesel,Manual,3,23.4,1248.0,74.0,5.0,4835.48,10,Maruti
Hyderabad,62700,Diesel,Manual,3,22.7,1498.0,89.84,5.0,7558.92,10,Ford
Jaipur,71000,Diesel,Manual,3,19.3,1248.0,73.9,5.0,3668.3,14,Maruti
Kochi,19947,Petrol,Manual,3,18.9,1197.0,82.0,5.0,5602.49,8,Hyundai
Hyderabad,91000,Diesel,Automatic,3,11.4,2953.0,153.86,7.0,10226.77,12,Ford
Hyderabad,74000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,6336.15,10,Volkswagen
Kochi,55594,Diesel,Manual,3,18.49,1493.0,100.0,7.0,9426.41,6,Mahindra
Hyderabad,58000,Diesel,Automatic,3,11.2,2993.0,306.0,4.0,53357.05,11,BMW
Hyderabad,110224,Diesel,Manual,3,19.01,1461.0,108.45,5.0,6780.79,12,Renault
Ahmedabad,21002,Petrol,Manual,3,22.5,998.0,67.04,5.0,3056.91,14,Maruti
Pune,121000,Diesel,Manual,3,24.52,1248.0,88.5,7.0,8892.84,7,Maruti
Jaipur,73513,Petrol,Manual,3,19.7,796.0,46.3,5.0,2056.47,14,Maruti
Jaipur,34000,Petrol,Automatic,3,20.51,998.0,67.0,5.0,4279.68,9,Maruti
Coimbatore,28371,Petrol,Manual,3,15.1,1196.0,73.0,7.0,5269.01,7,Maruti
Kochi,74755,Diesel,Manual,3,19.6,1461.0,108.45,5.0,6258.34,11,Renault
Kochi,25805,Petrol,Manual,3,18.2,1061.0,64.0,5.0,2912.41,13,Maruti
Kochi,82603,Petrol,Manual,3,13.06,1598.0,102.53,5.0,5446.87,9,Renault
Chennai,110000,Petrol,Manual,3,13.5,1799.0,130.0,5.0,2945.75,18,Honda
Delhi,88000,Diesel,Manual,3,16.0,2179.0,140.0,7.0,6658.51,12,Mahindra
Chennai,110000,Diesel,Manual,2,21.0,1461.0,64.1,5.0,2667.85,13,Mahindra
Delhi,15000,Petrol,Manual,3,21.7,999.0,67.0,5.0,4724.32,7,Renault
Mumbai,70000,Diesel,Automatic,3,15.15,2967.0,240.0,5.0,44464.21,11,Porsche
Pune,150000,Diesel,Manual,2,28.4,1248.0,74.0,5.0,3001.33,16,Maruti
Hyderabad,19000,Petrol,Manual,3,20.63,1198.0,67.0,5.0,3323.7,8,Datsun
Chennai,37442,Petrol,Manual,3,18.5,1197.0,80.0,5.0,3779.46,13,Hyundai
Coimbatore,63111,Diesel,Automatic,2,18.12,1995.0,190.0,5.0,34237.44,8,BMW
Mumbai,88000,Diesel,Manual,3,20.77,1248.0,88.8,7.0,6502.89,12,Maruti
Jaipur,42355,Petrol,Manual,3,18.9,1197.0,82.0,5.0,4446.42,10,Hyundai
Coimbatore,75871,Petrol,Automatic,3,9.43,2996.0,254.0,5.0,15695.86,13,BMW
Mumbai,65000,Diesel,Manual,3,17.9,1998.0,163.7,5.0,5057.8,13,Chevrolet
Pune,69000,Diesel,Automatic,3,0.0,2987.0,165.0,5.0,42241.0,9,Mercedes-Benz
Jaipur,79232,Diesel,Manual,3,21.1,1248.0,73.9,5.0,3223.65,13,Maruti
Pune,220000,Petrol,Automatic,2,11.74,1796.0,186.0,5.0,6669.63,17,Mercedes-Benz
Kochi,28470,Petrol,Manual,3,18.6,1197.0,81.83,5.0,7725.66,8,Hyundai
Kolkata,9759,Petrol,Manual,3,20.3,998.0,68.05,5.0,3056.91,10,Hyundai
Pune,75216,Diesel,Manual,3,22.9,1248.0,74.0,5.0,5669.19,10,Maruti
Chennai,8000,Petrol,Manual,3,18.6,1197.0,81.83,5.0,7503.33,7,Hyundai
Mumbai,59451,Petrol,Manual,3,18.5,1197.0,85.8,5.0,4101.82,10,Maruti
Hyderabad,53996,Diesel,Manual,3,22.9,1248.0,74.0,5.0,6058.25,11,Maruti
Kochi,15135,Petrol,Manual,3,17.5,1199.0,88.7,5.0,10326.81,6,Honda
Chennai,53000,Petrol,Automatic,2,16.9,1197.0,81.86,5.0,4446.42,9,Hyundai
Kolkata,40000,Petrol,Manual,3,18.0,1198.0,86.7,5.0,3223.65,11,Honda
Pune,21107,Petrol,Manual,3,17.1,1591.0,121.3,5.0,5835.93,11,Hyundai
Mumbai,56000,Petrol,Manual,3,16.8,1497.0,116.3,5.0,6391.73,10,Honda
Coimbatore,19623,Petrol,Manual,3,15.29,1591.0,121.3,5.0,14584.26,7,Hyundai
Kochi,70963,Diesel,Manual,3,15.1,2179.0,140.0,7.0,8703.87,10,Mahindra
Mumbai,51450,Diesel,Manual,3,12.8,2494.0,102.0,7.0,11560.69,11,Toyota
Pune,75000,Diesel,Manual,3,22.9,1248.0,74.0,5.0,4835.48,12,Maruti
Coimbatore,37832,Petrol,Automatic,3,22.5,998.0,67.0,5.0,5813.69,7,Maruti
Coimbatore,43041,Petrol,Manual,3,18.9,1197.0,81.86,5.0,6680.75,8,Hyundai
Hyderabad,97236,Diesel,Manual,3,25.8,1498.0,98.6,5.0,4891.06,10,Honda
Chennai,83000,Diesel,Automatic,3,16.07,1995.0,181.0,5.0,14172.97,14,BMW
Delhi,65000,Petrol,Manual,3,15.6,1196.0,70.0,5.0,2667.85,13,Ford
Kochi,46007,Petrol,Manual,3,17.0,1198.0,73.75,5.0,6347.27,6,Volkswagen
Kochi,65925,Diesel,Manual,2,22.7,1498.0,89.84,5.0,6102.71,9,Ford
Pune,73500,Petrol,Manual,2,13.0,1343.0,90.0,5.0,1445.09,20,Honda
Kolkata,55000,Diesel,Manual,3,16.0,2179.0,140.0,7.0,9448.64,10,Mahindra
Delhi,115000,Diesel,Manual,3,13.0,2982.0,168.5,7.0,14439.75,12,Toyota
Kolkata,31184,Petrol,Manual,3,18.9,1197.0,81.86,5.0,5558.03,7,Hyundai
Pune,41747,Diesel,Automatic,3,28.4,1248.0,73.75,5.0,10004.45,7,Maruti
Kochi,38143,Diesel,Manual,3,22.9,1248.0,74.0,5.0,5802.58,8,Maruti
Pune,19030,Petrol,Manual,3,16.47,1198.0,73.9,5.0,4224.1,12,Volkswagen
Coimbatore,20877,Petrol,Manual,3,18.16,1197.0,78.9,5.0,8081.37,5,Toyota
Mumbai,23555,Petrol,Manual,3,22.0,1197.0,81.8,5.0,5669.19,8,Maruti
Bangalore,29000,Diesel,Automatic,3,14.21,2143.0,203.0,5.0,32236.55,11,Mercedes-Benz
Pune,61000,Petrol,Manual,3,18.9,998.0,67.1,5.0,3223.65,11,Maruti
Kochi,4187,Petrol,Manual,3,26.0,624.0,35.0,4.0,1534.02,12,Tata
Bangalore,46000,Petrol,Manual,3,13.4,1798.0,157.8,5.0,6113.83,13,Skoda
Mumbai,28000,Petrol,Automatic,3,17.21,1197.0,103.5,5.0,8059.14,8,Volkswagen
Coimbatore,83558,Diesel,Manual,3,22.32,1582.0,126.32,5.0,7759.0,10,Hyundai
Hyderabad,40000,Diesel,Manual,3,22.95,1248.0,74.0,5.0,5835.93,7,Tata
Kolkata,36000,Petrol,Manual,3,21.1,814.0,55.2,5.0,2167.63,11,Hyundai
Bangalore,21000,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,27234.33,10,Audi
Kochi,62162,Diesel,Manual,3,12.99,2494.0,100.0,7.0,9237.44,11,Toyota
Hyderabad,83000,Diesel,Automatic,3,11.74,2987.0,254.8,5.0,40017.79,12,Mercedes-Benz
Pune,58000,Diesel,Manual,3,24.4,1120.0,71.0,5.0,6113.83,9,Hyundai
Kochi,62332,Petrol,Automatic,3,11.7,2354.0,177.6,5.0,6547.35,13,Honda
Kochi,50867,Diesel,Manual,3,20.34,1498.0,103.2,5.0,8837.26,8,Volkswagen
Mumbai,73000,Petrol,Manual,3,17.0,1197.0,80.0,5.0,3056.91,14,Hyundai
Jaipur,98008,Diesel,Manual,3,22.7,1582.0,126.24,5.0,6947.53,12,Hyundai
Hyderabad,36000,Diesel,Manual,3,20.0,1399.0,68.05,5.0,5502.45,9,Ford
Kochi,27339,Petrol,Manual,3,18.6,1197.0,81.83,5.0,6969.76,5,Hyundai
Kolkata,25000,Diesel,Manual,3,23.9,1582.0,126.2,5.0,9615.38,7,Hyundai
Kolkata,37000,Petrol,Manual,3,18.9,1197.0,82.0,5.0,3890.62,10,Hyundai
Hyderabad,56000,Diesel,Automatic,3,14.16,1968.0,174.3,5.0,38906.18,9,Audi
Kolkata,27000,Petrol,Manual,3,17.5,1298.0,85.8,5.0,4946.64,9,Maruti
Kolkata,37000,Petrol,Manual,3,18.5,1197.0,80.0,5.0,2945.75,12,Hyundai
Kolkata,10500,Diesel,Manual,3,25.32,1198.0,77.0,5.0,5224.54,7,Mahindra
Ahmedabad,49000,Diesel,Automatic,3,18.23,1582.0,126.2,5.0,9893.29,10,Hyundai
Mumbai,7000,Diesel,Manual,3,17.1,1956.0,170.0,5.0,19397.51,7,Jeep
Coimbatore,71256,Diesel,Manual,3,24.3,1248.0,88.5,5.0,10649.18,7,Maruti
Kochi,83184,Petrol,Manual,3,14.28,1798.0,138.03,5.0,6914.18,12,Toyota
Kolkata,87284,Diesel,Manual,3,15.1,2179.0,140.0,7.0,8670.52,11,Mahindra
Mumbai,7000,Diesel,Automatic,3,20.68,1995.0,190.0,5.0,30847.04,8,BMW
Pune,29000,Diesel,Manual,2,22.54,1396.0,88.73,5.0,7781.24,9,Hyundai
Coimbatore,33552,Diesel,Automatic,3,11.57,2987.0,254.79,5.0,72109.83,7,Mercedes-Benz
Bangalore,64000,Diesel,Manual,2,17.3,1998.0,163.7,5.0,7225.43,11,Chevrolet
Jaipur,82000,Petrol,Manual,2,18.5,1197.0,80.0,5.0,3001.33,13,Hyundai
Mumbai,70000,Petrol,Manual,2,19.4,1198.0,86.8,5.0,2779.01,12,Honda
Hyderabad,166194,Diesel,Manual,3,19.3,1461.0,84.8,7.0,4335.26,11,Nissan
Delhi,58000,Petrol,Manual,3,16.47,1198.0,73.9,5.0,4390.84,9,Volkswagen
Chennai,77000,Petrol,Manual,2,20.36,1197.0,78.9,5.0,2334.37,14,Hyundai
Pune,73204,Diesel,Automatic,1,18.1,1991.0,147.9,4.0,3890.62,15,Chevrolet
Hyderabad,70000,Petrol,Manual,2,19.81,1086.0,68.05,5.0,2223.21,17,Hyundai
Delhi,79870,Diesel,Manual,3,20.77,1248.0,88.76,7.0,5947.09,10,Maruti
Delhi,90000,Diesel,Manual,3,25.8,1498.0,98.6,5.0,4224.1,11,Honda
Mumbai,17000,Petrol,Automatic,3,15.5,1595.0,122.0,5.0,19175.19,8,Mercedes-Benz
Kochi,46493,Petrol,Manual,3,18.9,1197.0,81.86,5.0,6147.18,6,Hyundai
Pune,68000,Petrol,Manual,1,20.36,1197.0,78.9,5.0,2167.63,15,Hyundai
Hyderabad,2000,Diesel,Manual,3,28.4,1248.0,74.0,5.0,9115.16,7,Maruti
Pune,140000,Petrol,Manual,3,13.0,1343.0,90.0,5.0,1000.44,25,Honda
Pune,255000,Diesel,Manual,1,12.99,2494.0,100.6,7.0,7225.43,11,Toyota
Coimbatore,45535,Diesel,Automatic,3,23.8,1998.0,112.0,5.0,21576.26,10,Mini
Coimbatore,39228,Petrol,Manual,3,15.7,1368.0,112.4,5.0,7314.36,8,Fiat
Mumbai,57000,Petrol,Manual,2,14.49,1399.0,92.7,5.0,2334.37,13,Chevrolet
Chennai,85445,Petrol,Manual,2,19.81,1086.0,68.05,5.0,2223.21,16,Hyundai
Delhi,54000,Diesel,Manual,3,24.4,1120.0,71.0,5.0,4112.94,9,Hyundai
Mumbai,53000,Petrol,Automatic,3,23.1,998.0,67.04,5.0,4224.1,10,Maruti
Jaipur,60000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,3612.72,10,Hyundai
Coimbatore,65668,Diesel,Manual,3,19.87,1461.0,83.8,5.0,6147.18,9,Renault
Ahmedabad,100000,Diesel,Automatic,2,22.69,1995.0,190.0,5.0,12116.5,13,BMW
Kolkata,1800,Petrol,Manual,3,18.9,1197.0,82.0,5.0,5669.19,6,Hyundai
Pune,44200,Petrol,Manual,2,18.0,995.0,62.0,5.0,1778.57,15,Chevrolet
Ahmedabad,14000,Petrol,Manual,3,17.4,1497.0,117.3,5.0,12505.56,6,Honda
Chennai,720000,Diesel,Manual,3,20.54,1598.0,103.6,5.0,6558.47,11,Volkswagen
Delhi,73000,Diesel,Automatic,3,11.5,2982.0,169.0,7.0,16007.11,12,Toyota
Delhi,68000,Petrol,Manual,3,17.0,1497.0,118.0,5.0,4001.78,13,Honda
Jaipur,19543,Diesel,Automatic,3,18.12,1995.0,190.0,5.0,45020.01,7,BMW
Bangalore,38000,Diesel,Automatic,2,14.16,1968.0,174.3,5.0,43297.02,10,Audi
Delhi,32805,Diesel,Manual,3,23.2,1248.0,73.94,5.0,4001.78,10,Maruti
Kochi,44782,Diesel,Automatic,3,21.21,1498.0,103.2,5.0,7914.63,8,Volkswagen
Kochi,55700,Diesel,Manual,3,26.0,1498.0,98.6,5.0,8359.27,8,Honda
Delhi,60000,Diesel,Automatic,2,15.2,1968.0,140.8,5.0,11505.11,12,Audi
Hyderabad,56000,Petrol,Manual,3,15.0,1598.0,103.52,5.0,7781.24,10,Skoda
Delhi,60000,Diesel,Manual,3,11.5,2982.0,171.0,7.0,12060.92,13,Toyota
Mumbai,78563,Diesel,Manual,3,16.52,1991.0,123.7,5.0,2612.27,14,Chevrolet
Mumbai,34669,Petrol,Manual,3,15.1,1196.0,73.0,7.0,3223.65,10,Maruti
Delhi,17000,Petrol,Manual,3,20.73,1373.0,91.1,5.0,8503.78,7,Maruti
Delhi,66000,Diesel,Manual,3,28.09,1248.0,88.5,5.0,7114.27,8,Maruti
Pune,102418,Diesel,Manual,3,12.99,2494.0,100.6,7.0,11227.21,10,Toyota
Kolkata,48800,Petrol,Manual,3,19.1,1197.0,85.8,5.0,4724.32,10,Maruti
Kochi,10601,Diesel,Automatic,3,11.36,2755.0,171.5,7.0,21843.04,5,Toyota
Pune,8200,Diesel,Manual,3,25.0,1396.0,69.0,5.0,4891.06,7,Tata
Jaipur,100000,Petrol,Manual,3,18.5,1197.0,82.85,5.0,3612.72,12,Hyundai
Pune,78000,Diesel,Manual,3,17.8,1399.0,68.0,5.0,3112.49,12,Ford
Kolkata,50000,Diesel,Manual,3,18.2,1248.0,73.74,8.0,4779.9,9,Chevrolet
Chennai,89327,Diesel,Manual,1,17.8,1399.0,68.0,5.0,1722.99,18,Ford
Chennai,98000,Petrol,Manual,2,10.8,2354.0,152.0,5.0,5224.54,17,Honda
Kochi,24700,Petrol,Manual,3,18.7,1199.0,88.7,5.0,7859.05,7,Honda
Delhi,6000,Diesel,Automatic,3,11.0,2987.0,258.0,7.0,87816.81,6,Mercedes-Benz
Delhi,9434,Petrol,Manual,3,18.9,1197.0,81.86,5.0,6391.73,6,Hyundai
Mumbai,29000,Petrol,Manual,3,18.5,1197.0,85.8,5.0,3612.72,12,Maruti
Coimbatore,22440,Diesel,Automatic,3,22.0,1498.0,108.5,5.0,9882.17,7,Volkswagen
Mumbai,73070,Petrol,Manual,3,17.4,1497.0,117.3,5.0,6558.47,9,Honda
Kolkata,21771,Petrol,Manual,3,18.7,1199.0,88.7,5.0,5502.45,8,Honda
Delhi,62000,Diesel,Manual,3,17.8,1248.0,75.0,5.0,4168.52,10,Maruti
Kochi,37024,Diesel,Automatic,3,17.01,1582.0,126.2,5.0,12194.31,7,Hyundai
Kochi,60336,Diesel,Automatic,2,14.4,2967.0,241.4,5.0,27723.43,10,Audi
Kolkata,26008,Petrol,Manual,3,21.1,814.0,55.2,5.0,2189.86,10,Hyundai
Jaipur,90000,Diesel,Manual,2,20.0,1399.0,68.0,5.0,1556.25,14,Ford
Coimbatore,35569,Petrol,Manual,3,17.0,1198.0,73.75,5.0,8081.37,6,Volkswagen
Kolkata,40000,Diesel,Manual,3,21.64,1461.0,84.8,5.0,4446.42,11,Renault
Kolkata,45000,Petrol,Manual,3,18.7,1199.0,88.7,5.0,5280.12,9,Honda
Delhi,42000,Petrol,Manual,3,17.0,1197.0,80.0,5.0,5669.19,9,Hyundai
Coimbatore,46913,Diesel,Automatic,3,14.94,2967.0,241.4,5.0,17907.96,12,Audi
Delhi,62000,Diesel,Automatic,3,11.18,2696.0,184.0,7.0,11727.43,10,Mahindra
Ahmedabad,15000,Diesel,Automatic,3,12.9,2755.0,174.5,7.0,33348.15,7,Toyota
Kolkata,69000,Diesel,Manual,3,18.7,1896.0,66.0,5.0,1778.57,22,Skoda
Hyderabad,41367,Diesel,Automatic,3,15.8,2148.0,170.0,5.0,20553.58,12,Mercedes-Benz
Kochi,15982,Petrol,Manual,3,20.73,1373.0,91.1,5.0,11071.59,6,Maruti
Hyderabad,99595,Diesel,Manual,2,22.9,1248.0,74.0,5.0,5280.12,11,Maruti
Bangalore,63000,Diesel,Manual,1,13.1,2446.0,75.0,10.0,4057.36,22,Toyota
Delhi,49000,Diesel,Automatic,2,16.73,2495.0,218.0,5.0,17229.88,12,BMW
Kochi,48272,Diesel,Manual,3,10.5,2835.0,116.9,6.0,13139.17,11,Mitsubishi
Delhi,63000,Petrol,Manual,3,13.4,1794.0,125.0,5.0,2278.79,16,Toyota
Mumbai,11734,Petrol,Manual,3,16.8,796.0,34.2,8.0,2501.11,11,Maruti
Kochi,62012,Diesel,Automatic,3,17.68,1968.0,174.33,5.0,22365.5,10,Audi
Coimbatore,45449,Diesel,Manual,3,27.3,1498.0,98.6,5.0,8314.81,8,Honda
Mumbai,85000,Petrol,Automatic,2,10.5,1796.0,157.7,5.0,6113.83,20,Mercedes-Benz
Kochi,45330,Diesel,Automatic,3,16.55,1968.0,147.51,5.0,14662.07,11,Audi
Mumbai,88000,Petrol,Manual,3,19.1,1197.0,85.8,5.0,4279.68,12,Maruti
